Free-time,Temperature,Outlook,Traffic,Play
Yes,Normal,Overcast,Light,Yes
No,Cold,Sunny,Heavy,No
No,Hot,Sunny,Light,No
No,Hot,Rainy,Light,No
No,Hot,Overcast,Moderate,No
Yes,Cold,Rainy,Moderate,No
No,Normal,Storm,Gridlock,No
No,Cold,Rainy,Gridlock,No
No,Cold,Overcast,Gridlock,No
No,Normal,Storm,Light,No
No,Hot,Sunny,Light,No
No,Hot,Overcast,Heavy,No
Yes,Cold,Rainy,Gridlock,No
Yes,Cold,Overcast,Moderate,Yes
No,Normal,Overcast,Light,Yes
Yes,Hot,Overcast,Moderate,Yes
No,Hot,Sunny,Light,No
Yes,Hot,Sunny,Gridlock,No
Yes,Normal,Rainy,Moderate,Yes
No,Normal,Sunny,Light,Yes
No,Normal,Rainy,Gridlock,No
No,Hot,Sunny,Moderate,No
No,Cold,Storm,Gridlock,No
Yes,Normal,Sunny,Moderate,Yes
Yes,Normal,Rainy,Moderate,Yes
Yes,Normal,Sunny,Heavy,No
Yes,Normal,Rainy,Light,Yes
Yes,Hot,Overcast,Light,Yes
No,Cold,Storm,Light,No
No,Cold,Overcast,Light,Yes
No,Hot,Sunny,Heavy,No
Yes,Normal,Rainy,Moderate,Yes
Yes,Cold,Storm,Gridlock,No
No,Normal,Rainy,Heavy,Yes
Yes,Cold,Rainy,Moderate,Yes
No,Normal,Sunny,Gridlock,Yes
No,Normal,Storm,Gridlock,No
Yes,Cold,Overcast,Gridlock,Yes
Yes,Cold,Storm,Heavy,No
Yes,Hot,Overcast,Gridlock,No
Yes,Normal,Overcast,Light,Yes
No,Normal,Sunny,Gridlock,Yes
No,Normal,Sunny,Gridlock,No
Yes,Hot,Overcast,Light,Yes
Yes,Hot,Sunny,Heavy,Yes
No,Cold,Overcast,Gridlock,Yes
Yes,Normal,Sunny,Light,Yes
No,Hot,Sunny,Moderate,Yes
Yes,Normal,Overcast,Moderate,Yes
Yes,Hot,Sunny,Gridlock,Yes
Yes,Cold,Rainy,Light,Yes
Yes,Cold,Rainy,Moderate,Yes
Yes,Normal,Overcast,Gridlock,Yes
No,Cold,Storm,Moderate,Yes
No,Hot,Storm,Light,Yes
Yes,Normal,Storm,Heavy,No
Yes,Cold,Storm,Heavy,No
No,Cold,Sunny,Gridlock,No
No,Hot,Rainy,Gridlock,No
Yes,Normal,Overcast,Moderate,Yes
Yes,Normal,Rainy,Light,No
Yes,Cold,Rainy,Moderate,Yes
Yes,Cold,Storm,Heavy,No
No,Normal,Rainy,Moderate,No
No,Cold,Storm,Moderate,No
Yes,Normal,Rainy,Gridlock,No
No,Cold,Sunny,Light,Yes
Yes,Normal,Overcast,Moderate,Yes
Yes,Hot,Rainy,Gridlock,No
No,Hot,Overcast,Gridlock,No
No,Hot,Rainy,Moderate,No
No,Hot,Storm,Gridlock,No
Yes,Hot,Rainy,Heavy,No
No,Normal,Storm,Heavy,No
Yes,Cold,Sunny,Gridlock, No
Yes,Cold,Overcast,Light,No
No,Cold,Sunny,Heavy,No
No,Cold,Sunny,Heavy,No
Yes,Hot,Rainy,Gridlock,No
Yes,Hot,Overcast,Light,Yes
Yes,Hot,Rainy,Light,Yes
Yes,Normal,Sunny,Gridlock,No
No,Normal,Rainy,Light,Yes
No,Hot,Sunny,Gridlock,No
No,Cold,Storm,Moderate,No
No,Normal,Rainy,Gridlock,No
Yes,Cold,Rainy,Heavy,No
Yes,Cold,Rainy,Gridlock,Yes
No,Cold,Sunny,Moderate,No
Yes,Normal,Sunny,Light,Yes
Yes,Hot,Sunny,Gridlock,No
Yes,Normal,Overcast,Light,Yes
No,Cold,Rainy,Heavy,Yes
Yes,Normal,Rainy,Gridlock,Yes
No,Normal,Rainy,Moderate,Yes
No,Hot,Sunny,Light,No
No,Cold,Overcast,Light,No
No,Cold,Sunny,Light,Yes
No,Normal,Rainy,Gridlock,No
Yes,Cold,Sunny,Gridlock,Yes
